theta,phi,psi,dd0,dd1,dd2,dd3,dd4,dd5,dd6,dd7,dd8,dd9,lx0,ly0,lz0,lx1,ly1,lz1,lx2,ly2,lz2,lx3,ly3,lz3,lx4,ly4,lz4,lx5,ly5,lz5,lx6,ly6,lz6,lx7,ly7,lz7,lx8,ly8,lz8,lx9,ly9,lz9,si0_O239,si1_H231,si2_N238,si3_H237,si4_N238,si5_H236,si6_C169,si6_C188,si6_C24,si6_C26,si7_C169,si7_C188,si7_C24,si7_C26,si7_H217,si8_C188,si8_C26,si8_H216,si8_H221,si8_H224,si9_C169,si9_C188,si9_C24,si9_C26,si9_H216,si9_H221,mj0_H231,mj1_O239,mj2_H237,mj3_N238,mj4_H236,mj5_N238,mj6_H216,mj6_H217,mj6_H221,mj6_H224,mj7_C26,mj7_H216,mj7_H217,mj7_H221,mj7_H224,mj8_C169,mj8_C188,mj8_C24,mj8_H217,mj8_H224,mj9_C169,mj9_C24,mj9_H216,mj9_H217,mj9_H221,mj9_H224
0,60,180,1.01241692,1.01241692,1.04773118,1.04773118,1.04925177,1.04925177,1.10341693,1.10341693,1.10341693,1.10341693,-0.81050676,0.57379272,-0.11763816,0.81050676,-0.57379272,0.11763816,-0.40965393,0.20932391,-0.88789935,0.40965393,-0.20932391,0.88789935,-0.72458649,0.12818054,0.67715749,0.72458649,-0.12818054,-0.67715749,-0.84576345,0.53355634,0.0,0.84576344,0.53355636,0.0,0.84576343,-0.53355637,0.0,0.84576345,-0.53355634,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,60,240,1.01241692,1.01241692,1.04773118,1.04773118,1.04925177,1.04925177,1.10341693,1.10341693,1.10341693,1.10341693,0.75048458,0.15229198,0.64310036,-0.75048458,-0.15229198,-0.64310036,0.668165,0.73864791,-0.08917897,-0.668165,-0.73864791,0.08917897,-0.00106356,-0.25820323,0.96608905,0.00106356,0.25820323,-0.96608905,-0.84576345,0.53355634,0.0,0.84576344,0.53355636,0.0,0.84576343,-0.53355637,0.0,0.84576345,-0.53355634,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,60,300,1.01241692,1.01241692,1.04773118,1.04773118,1.04925177,1.04925177,1.10341693,1.10341693,1.10341693,1.10341693,0.59798049,-0.73114863,-0.32838853,-0.59798049,0.73114863,0.32838853,0.76811348,0.14688425,-0.62323735,-0.76811348,-0.14688425,0.62323735,0.19445238,-0.85320787,0.4839656,-0.19445238,0.85320787,-0.4839656,0.84576344,0.53355636,0.0,-0.84576344,-0.53355636,0.0,0.84576345,-0.53355634,0.0,0.84576343,-0.53355637,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,60,360,1.01241692,1.01241692,1.04773118,1.04773118,1.04925177,1.04925177,1.10341693,1.10341693,1.10341693,1.10341693,0.01459744,-0.73114863,-0.68206057,-0.01459744,0.73114863,0.68206057,-0.15568264,0.14688425,-0.97682446,0.15568264,-0.14688425,0.97682446,0.51635269,-0.85320787,0.0735821,-0.51635269,0.85320787,-0.0735821,-0.84576345,0.53355634,0.0,0.84576344,0.53355636,0.0,0.84576343,-0.53355637,0.0,0.84576345,-0.53355634,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,120,0,1.01241692,1.01241692,1.04773118,1.04773118,1.04925177,1.04925177,1.10341693,1.10341693,1.10341693,1.10341693,-0.59798049,-0.73114863,0.32838853,0.59798049,0.73114863,-0.32838853,-0.76811348,0.14688425,0.62323735,0.76811348,-0.14688425,-0.62323735,-0.19445238,-0.85320787,-0.4839656,0.19445238,0.85320787,0.4839656,0.84576344,0.53355636,0.0,-0.84576344,-0.53355636,0.0,0.84576345,-0.53355634,0.0,0.84576343,-0.53355637,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,120,60,1.01241692,1.01241692,1.04773118,1.04773118,1.04925177,1.04925177,1.10341693,1.10341693,1.10341693,1.10341693,0.92488482,0.13965023,0.35367203,-0.92488482,-0.13965023,-0.35367203,0.33469257,0.87347303,0.35358711,-0.33469257,-0.87347303,-0.35358711,0.57794953,-0.70537778,0.4103835,-0.57794953,0.70537778,-0.4103835,0.84576343,-0.53355637,0.0,-0.84576345,0.53355634,0.0,0.84576344,0.53355636,0.0,-0.84576344,-0.53355636,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,120,120,1.01241692,1.01241692,1.04773118,1.04773118,1.04925177,1.04925177,1.10341693,1.10341693,1.10341693,1.10341693,-0.04286393,-0.20505797,-0.97780977,0.04286393,0.20505797,0.97780977,-0.8258844,-0.31647231,-0.46664582,0.8258844,0.31647231,0.46664582,0.57766119,0.41021703,-0.70571073,-0.57766119,-0.41021703,0.70571073,0.84576344,0.53355636,0.0,-0.84576344,-0.53355636,0.0,0.84576345,-0.53355634,0.0,0.84576343,-0.53355637,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,120,180,1.01241692,1.01241692,1.04773118,1.04773118,1.04925177,1.04925177,1.10341693,1.10341693,1.10341693,1.10341693,0.82537613,0.20505797,0.52602613,-0.82537613,-0.20505797,-0.52602613,-0.00881506,0.31647231,0.94855978,0.00881506,-0.31647231,-0.94855978,0.89999401,-0.41021703,-0.1474139,-0.89999401,0.41021703,0.1474139,-0.84576345,0.53355634,0.0,0.84576344,0.53355636,0.0,-0.84576344,-0.53355636,0.0,-0.84576344,-0.53355636,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,120,240,1.01241692,1.01241692,1.04773118,1.04773118,1.04925177,1.04925177,1.10341693,1.10341693,1.10341693,1.10341693,0.15615345,-0.13965023,-0.97780977,-0.15615345,0.13965023,0.97780977,-0.13886914,-0.87347303,-0.46664582,0.13886914,0.87347303,0.46664582,-0.06642777,0.70537778,-0.70571073,0.06642777,-0.70537778,0.70571073,0.84576344,0.53355636,0.0,-0.84576344,-0.53355636,0.0,0.84576345,-0.53355634,0.0,0.84576343,-0.53355637,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,120,300,1.01241692,1.01241692,1.04773118,1.04773118,1.04925177,1.04925177,1.10341693,1.10341693,1.10341693,1.10341693,-0.58338306,0.73114863,0.35367203,0.58338306,-0.73114863,-0.35367203,-0.92379612,-0.14688425,0.35358711,0.92379612,0.14688425,-0.35358711,0.32190031,0.85320787,0.4103835,-0.32190031,-0.85320787,-0.4103835,0.84576344,0.53355636,0.0,-0.84576344,-0.53355636,0.0,0.84576345,-0.53355634,0.0,0.84576343,-0.53355637,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,120,360,1.01241692,1.01241692,1.04773118,1.04773118,1.04925177,1.04925177,1.10341693,1.10341693,1.10341693,1.10341693,0.59798049,0.73114863,0.32838853,-0.59798049,-0.73114863,-0.32838853,0.76811348,-0.14688425,0.62323735,-0.76811348,0.14688425,-0.62323735,0.19445238,0.85320787,-0.4839656,-0.19445238,-0.85320787,0.4839656,0.84576344,0.53355636,0.0,-0.84576344,-0.53355636,0.0,0.84576345,-0.53355634,0.0,0.84576343,-0.53355637,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,180,0,1.01241692,1.01241692,1.04773118,1.04773118,1.04925177,1.04925177,1.10341693,1.10341693,1.10341693,1.10341693,-0.59798049,0.73114863,-0.32838853,0.59798049,-0.73114863,0.32838853,-0.76811348,-0.14688425,-0.62323735,0.76811348,0.14688425,0.62323735,-0.19445238,0.85320787,0.4839656,0.19445238,-0.85320787,-0.4839656,0.84576344,0.53355636,0.0,-0.84576344,-0.53355636,0.0,0.84576345,-0.53355634,0.0,0.84576343,-0.53355637,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,180,60,1.01241692,1.01241692,1.04773118,1.04773118,1.04925177,1.04925177,1.10341693,1.10341693,1.10341693,1.10341693,-0.33420304,0.88344062,0.32838853,0.33420304,-0.88344062,-0.32838853,0.51126223,0.59176366,0.62323735,-0.51126223,-0.59176366,-0.62323735,-0.6416735,0.59500464,-0.4839656,0.6416735,-0.59500464,0.4839656,0.84576344,0.53355636,0.0,-0.84576344,-0.53355636,0.0,0.84576345,-0.53355634,0.0,0.84576343,-0.53355637,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,180,120,1.01241692,1.01241692,1.04773118,1.04773118,1.04925177,1.04925177,1.10341693,1.10341693,1.10341693,1.10341693,-0.93218354,-0.15229198,-0.32838853,0.93218354,0.15229198,0.32838853,-0.25685125,-0.73864791,-0.62323735,0.25685125,0.73864791,0.62323735,-0.83612588,0.25820323,0.4839656,0.83612588,-0.25820323,-0.4839656,-0.84576345,0.53355634,0.0,0.84576344,0.53355636,0.0,0.84576343,-0.53355637,0.0,0.84576345,-0.53355634,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,180,180,1.01241692,1.01241692,1.04773118,1.04773118,1.04925177,1.04925177,1.10341693,1.10341693,1.10341693,1.10341693,-0.93218354,0.15229198,0.32838853,0.93218354,-0.15229198,-0.32838853,-0.25685125,0.73864791,0.62323735,0.25685125,-0.73864791,-0.62323735,-0.83612588,-0.25820323,-0.4839656,0.83612588,0.25820323,0.4839656,-0.84576345,0.53355634,0.0,0.84576344,0.53355636,0.0,0.84576343,-0.53355637,0.0,0.84576345,-0.53355634,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,180,240,1.01241692,1.01241692,1.04773118,1.04773118,1.04925177,1.04925177,1.10341693,1.10341693,1.10341693,1.10341693,-0.33420304,-0.88344062,-0.32838853,0.33420304,0.88344062,0.32838853,0.51126223,-0.59176366,-0.62323735,-0.51126223,0.59176366,0.62323735,-0.6416735,-0.59500464,0.4839656,0.6416735,0.59500464,-0.4839656,0.84576344,0.53355636,0.0,-0.84576344,-0.53355636,0.0,0.84576345,-0.53355634,0.0,0.84576343,-0.53355637,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,180,300,1.01241692,1.01241692,1.04773118,1.04773118,1.04925177,1.04925177,1.10341693,1.10341693,1.10341693,1.10341693,-0.59798049,-0.73114863,0.32838853,0.59798049,0.73114863,-0.32838853,-0.76811348,0.14688425,0.62323735,0.76811348,-0.14688425,-0.62323735,-0.19445238,-0.85320787,-0.4839656,0.19445238,0.85320787,0.4839656,0.84576344,0.53355636,0.0,-0.84576344,-0.53355636,0.0,0.84576345,-0.53355634,0.0,0.84576343,-0.53355637,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,180,360,1.01241692,1.01241692,1.04773118,1.04773118,1.04925177,1.04925177,1.10341693,1.10341693,1.10341693,1.10341693,0.59798049,-0.73114863,-0.32838853,-0.59798049,0.73114863,0.32838853,0.76811348,0.14688425,-0.62323735,-0.76811348,-0.14688425,0.62323735,0.19445238,-0.85320787,0.4839656,-0.19445238,0.85320787,-0.4839656,0.84576344,0.53355636,0.0,-0.84576344,-0.53355636,0.0,0.84576345,-0.53355634,0.0,0.84576343,-0.53355637,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
